day,symbol,open_dir,side,entry_time,exit_time,entry,exit,stop,pnl,pct,reason,equity_before,notional_usdt,pnl_usdt,equity_after
2026-06-25,INTC,up,long,09:30,09:40,140.37,137.47,137.47,-2.9,-2.07,sl,1000.0,0.0,-20.66,979.34
2026-06-26,INTC,up,long,09:30,15:55,126.63,127.78,125.54,1.15,0.91,eod,979.34,0.0,8.89,988.23
2026-06-29,INTC,up,long,09:30,09:35,126.01,125.54,125.54,-0.47,-0.37,sl,988.23,0.0,-3.69,984.54
2026-06-30,INTC,up,long,09:30,15:55,133.68,139.61,130.38,5.93,4.44,eod,984.54,0.0,43.67,1028.21
2026-07-01,INTC,down,short,09:30,15:55,133.54,127.17,138.2,6.37,4.77,eod,1028.21,0.0,49.05,1077.26
2026-07-02,INTC,up,long,09:30,09:35,126.07,124.62,124.62,-1.45,-1.15,sl,1077.26,0.0,-12.39,1064.87
2026-07-03,INTC,up,long,09:30,12:40,123.09,122.68,122.68,-0.41,-0.33,sl,1064.87,0.0,-3.55,1061.32
2026-06-25,SOXL,up,long,09:30,09:40,267.09,260.59,260.59,-6.5,-2.43,sl,1000.0,0.0,-24.34,975.66
2026-06-26,SOXL,down,short,09:30,10:05,217.49,231.18,231.18,-13.69,-6.29,sl,975.66,0.0,-61.41,914.25
2026-06-29,SOXL,up,long,09:30,09:35,220.4,216.48,216.48,-3.92,-1.78,sl,914.25,0.0,-16.26,897.99
2026-06-30,SOXL,up,long,09:30,15:55,248.59,267.07,236.26,18.48,7.43,eod,897.99,0.0,66.76,964.75
2026-07-01,SOXL,down,short,09:30,15:55,234.59,217.3,258.16,17.29,7.37,eod,964.75,0.0,71.11,1035.86
2026-07-02,SOXL,up,long,09:30,10:25,217.58,209.04,209.04,-8.54,-3.92,sl,1035.86,0.0,-40.66,995.2
2026-07-03,SOXL,up,long,09:30,10:05,192.75,190.18,190.18,-2.57,-1.33,sl,995.2,0.0,-13.27,981.93
2026-06-25,HOOD,down,short,09:30,15:55,96.5,93.58,99.83,2.92,3.03,eod,1000.0,0.0,30.26,1030.26
2026-06-26,HOOD,up,long,09:30,15:55,94.5,98.71,91.75,4.21,4.46,eod,1030.26,0.0,45.9,1076.16
2026-06-29,HOOD,up,long,09:30,09:35,99.89,100.11,100.11,0.22,0.22,sl,1076.16,0.0,2.37,1078.53
2026-06-30,HOOD,up,long,09:30,14:05,101.69,99.97,99.97,-1.72,-1.69,sl,1078.53,0.0,-18.24,1060.29
2026-07-01,HOOD,up,long,09:30,15:55,101.41,108.7,99.37,7.29,7.19,eod,1060.29,0.0,76.22,1136.51
2026-07-02,HOOD,up,long,09:30,12:30,117.16,111.64,111.64,-5.52,-4.71,sl,1136.51,0.0,-53.55,1082.96
2026-07-03,HOOD,up,long,09:30,12:55,112.19,112.2,111.29,0.01,0.01,eod,1082.96,0.0,0.1,1083.06
2026-06-25,CRCL,down,short,09:30,15:55,69.74,68.88,73.41,0.86,1.23,eod,1000.0,0.0,12.33,1012.33
2026-06-29,CRCL,down,short,09:30,15:45,74.28,75.98,75.98,-1.7,-2.29,sl,1012.33,0.0,-23.17,989.16
2026-06-30,CRCL,up,long,09:30,09:35,73.07,72.04,72.04,-1.03,-1.41,sl,989.16,0.0,-13.94,975.22
2026-07-01,CRCL,up,long,09:30,14:40,63.83,63.37,61.1,-0.46,-0.72,flip_down,975.22,0.0,-7.03,968.19
2026-07-01,CRCL,up,short,14:40,15:55,63.37,62.15,66.13,1.22,1.93,eod,968.19,0.0,18.64,986.83
2026-07-02,CRCL,up,long,09:30,15:55,66.89,64.74,62.96,-2.15,-3.21,eod,986.83,0.0,-31.72,955.11
2026-07-03,CRCL,up,long,09:30,12:55,67.49,67.05,63.05,-0.44,-0.65,eod,955.11,0.0,-6.23,948.88
2026-06-25,COIN,down,short,09:30,15:55,150.12,142.73,153.86,7.39,4.92,eod,1000.0,0.0,49.23,1049.23
2026-06-26,COIN,up,long,09:30,15:55,141.52,149.02,139.46,7.5,5.3,eod,1049.23,0.0,55.61,1104.84
2026-06-29,COIN,up,long,09:30,09:35,150.27,149.0,149.0,-1.27,-0.85,sl,1104.84,0.0,-9.34,1095.5
2026-06-30,COIN,up,long,09:30,09:35,145.82,145.4,145.4,-0.42,-0.29,sl,1095.5,0.0,-3.16,1092.34
2026-07-01,COIN,up,long,09:30,15:50,148.58,160.71,142.68,12.13,8.16,flip_down,1092.34,0.0,89.18,1181.52
2026-07-01,COIN,up,short,15:50,15:55,160.71,159.31,164.52,1.4,0.87,eod,1181.52,0.0,10.29,1191.81
2026-07-02,COIN,up,long,09:30,12:30,170.52,164.03,164.03,-6.49,-3.81,sl,1191.81,0.0,-45.36,1146.45
2026-07-03,COIN,up,long,09:30,12:55,166.45,166.64,165.49,0.19,0.11,eod,1146.45,0.0,1.31,1147.76
2026-06-25,MSTR,down,short,09:30,15:55,93.02,85.36,96.62,7.66,8.23,eod,1000.0,0.0,82.35,1082.35
2026-06-26,MSTR,up,long,09:30,14:45,83.12,82.14,82.14,-0.98,-1.18,sl,1082.35,0.0,-12.76,1069.59
2026-06-29,MSTR,down,short,09:30,11:35,87.2,89.24,89.24,-2.04,-2.34,sl,1069.59,0.0,-25.02,1044.57
2026-06-30,MSTR,down,short,09:30,15:55,85.2,87.01,89.73,-1.81,-2.12,eod,1044.57,0.0,-22.19,1022.38
2026-07-01,MSTR,up,long,09:30,15:55,89.44,93.41,86.06,3.97,4.44,eod,1022.38,0.0,45.38,1067.76
2026-07-02,MSTR,up,long,09:30,12:25,101.42,98.21,98.21,-3.21,-3.17,sl,1067.76,0.0,-33.8,1033.96
2026-07-03,MSTR,down,short,09:30,10:55,103.96,105.19,105.19,-1.23,-1.18,sl,1033.96,0.0,-12.23,1021.73
