session_date,scan_et,symbol,side,entry,sl,tp,notional_usdt,wallet_before,wallet_after,pnl_usdt_gross,fee_usdt,pnl_usdt,pnl_r,outcome,ob_low,ob_high,impulse_pct,entry_mode
2026-02-10,10:30,COINUSDT,LONG,165.56,162.5189,171.6422,462.744,1000.0,991.3094,-8.413,0.2776,-8.6906,-0.9898,session_close,162.85,165.56,0.021309,ob_prox
2026-02-11,11:45,COINUSDT,SHORT,151.03,152.9621,147.1659,658.6744,991.3094,982.4881,-8.4261,0.3952,-8.8213,-1.0,loss,151.03,152.66,0.008885,ob_prox
2026-02-12,14:00,COINUSDT,LONG,141.33,139.8973,144.1953,823.8297,982.4881,980.6531,-1.3407,0.4943,-1.835,-0.1605,session_close,140.18,141.33,0.008433,ob_prox
2026-02-17,10:30,COINUSDT,LONG,166.42,158.1372,182.9857,167.4791,980.6531,980.0897,-0.4629,0.1005,-0.5634,-0.0555,session_close,158.47,166.42,0.01809,ob_prox
2026-02-18,12:00,COINUSDT,SHORT,168.4,169.7068,165.7864,1073.5387,980.0897,996.1071,16.6615,0.6441,16.0174,2.0,win,168.4,169.37,0.024613,ob_prox
2026-02-23,13:45,COINUSDT,SHORT,160.44,162.0037,157.3125,868.7095,996.1071,996.8312,1.2453,0.5212,0.7241,0.1471,session_close,160.44,161.64,0.008872,ob_prox
2026-02-24,10:15,COINUSDT,LONG,157.11,154.2774,162.7752,469.9563,996.8312,1011.2662,14.717,0.282,14.435,1.7369,session_close,154.65,157.11,0.01058,ob_prox
2026-02-25,09:45,COINUSDT,LONG,174.31,166.0262,190.8776,180.8748,1011.2662,1021.2126,10.0549,0.1085,9.9464,1.1698,session_close,166.46,174.31,0.008759,ob_prox
2026-02-26,15:30,COINUSDT,LONG,180.98,179.6232,183.6937,1157.8156,1021.2126,1021.2216,0.7037,0.6947,0.009,0.0811,session_close,180.06,180.98,0.008069,ob_prox
2026-03-04,10:45,COINUSDT,LONG,208.93,205.5721,215.6458,540.0941,1021.2216,1020.5614,-0.3361,0.3241,-0.6602,-0.0387,session_close,206.13,208.93,0.049167,ob_prox
2026-03-05,14:00,COINUSDT,LONG,202.71,201.0766,205.9769,1076.5494,1020.5614,1037.265,17.3495,0.6459,16.7036,2.0,win,201.64,202.71,0.009889,ob_prox
2026-03-06,12:30,COINUSDT,SHORT,197.34,199.7902,192.4396,710.0997,1037.265,1037.1268,0.2879,0.4261,-0.1382,0.0327,session_close,197.34,199.22,0.012935,ob_prox
2026-03-09,10:00,COINUSDT,SHORT,196.75,204.5122,181.2256,223.4508,1037.1268,1033.5515,-3.4412,0.1341,-3.5753,-0.3904,session_close,196.75,203.97,0.013966,ob_prox
2026-03-10,14:00,COINUSDT,SHORT,198.28,200.3608,194.1185,837.1534,1033.5515,1039.8045,6.7553,0.5023,6.253,0.7689,session_close,198.28,199.81,0.012928,ob_prox
2026-03-12,11:30,COINUSDT,LONG,195.29,192.1205,201.6291,544.5704,1039.8045,1034.2633,-5.2145,0.3267,-5.5412,-0.59,session_close,192.65,195.29,0.009076,ob_prox
2026-03-13,10:00,COINUSDT,SHORT,201.76,204.3444,196.5912,686.3189,1034.2633,1051.434,17.5825,0.4118,17.1707,2.0,win,201.76,203.8,0.008508,ob_prox
2026-03-16,10:00,COINUSDT,LONG,202.6,198.2537,211.2925,416.6054,1051.434,1052.6028,1.4188,0.25,1.1688,0.1588,session_close,198.74,202.6,0.012502,ob_prox
2026-03-17,09:30,COINUSDT,LONG,204.47,201.728,209.954,667.1866,1052.6028,1070.0967,17.8942,0.4003,17.4939,2.0,win,202.22,204.47,0.008206,ob_prox
2026-03-19,09:45,COINUSDT,LONG,195.7,194.1392,198.8216,1140.473,1070.0967,1087.604,18.1916,0.6843,17.5073,2.0,win,194.66,195.7,0.016017,ob_prox
2026-03-25,10:45,COINUSDT,SHORT,186.67,189.0954,181.8192,711.516,1087.604,1105.6664,18.4893,0.4269,18.0624,2.0,win,186.67,188.55,0.009228,ob_prox
2026-03-31,12:00,COINUSDT,LONG,167.12,165.0711,171.2178,766.5655,1105.6664,1124.0028,18.7963,0.4599,18.3364,2.0,win,165.59,167.12,0.008395,ob_prox
2026-04-01,10:45,COINUSDT,LONG,175.1,172.6118,180.0765,672.3279,1124.0028,1114.0454,-9.554,0.4034,-9.9574,-1.0,loss,173.12,175.1,0.013076,ob_prox
2026-04-06,13:00,COINUSDT,SHORT,176.57,178.2033,173.3035,1023.7229,1114.0454,1122.9976,9.5664,0.6142,8.9522,1.0102,session_close,176.57,177.78,0.014323,ob_prox
2026-04-09,11:30,COINUSDT,LONG,171.97,170.1189,175.6722,886.7776,1122.9976,1112.92,-9.5455,0.5321,-10.0776,-1.0,loss,170.61,171.97,0.032084,ob_prox
2026-04-13,11:30,COINUSDT,SHORT,173.07,175.2426,168.7248,753.5703,1112.92,1106.1544,-6.3135,0.4521,-6.7656,-0.6674,session_close,173.07,174.78,0.009802,ob_prox
2026-04-14,15:30,COINUSDT,LONG,184.27,183.0504,186.7091,1420.644,1106.1544,1106.921,1.619,0.8524,0.7666,0.1722,session_close,183.52,184.27,0.008994,ob_prox
2026-04-21,11:45,COINUSDT,SHORT,201.54,203.7595,197.1011,854.3803,1106.921,1125.2261,18.8177,0.5126,18.3051,2.0,win,201.54,203.21,0.030491,ob_prox
2026-04-24,09:45,COINUSDT,SHORT,201.11,202.619,198.0921,1274.7225,1125.2261,1132.321,7.8597,0.7648,7.0949,0.8218,session_close,201.11,202.08,0.009539,ob_prox
2026-04-28,10:45,COINUSDT,SHORT,192.39,195.3477,186.4746,626.0579,1132.321,1122.3207,-9.6247,0.3756,-10.0003,-1.0,loss,192.39,194.87,0.011345,ob_prox
2026-05-01,09:45,COINUSDT,LONG,192.99,189.4783,200.0134,524.2674,1122.3207,1117.3608,-4.6453,0.3146,-4.9599,-0.4869,session_close,189.97,192.99,0.013388,ob_prox
2026-05-05,14:45,COINUSDT,LONG,196.7,195.1095,199.8811,1174.5489,1117.3608,1122.7468,6.0907,0.7047,5.386,0.6413,session_close,195.6,196.7,0.009007,ob_prox
2026-05-07,11:15,COINUSDT,SHORT,194.99,197.0878,190.7944,887.043,1122.7468,1141.3013,19.0867,0.5322,18.5545,2.0,win,194.99,196.56,0.009919,ob_prox
2026-05-11,11:15,COINUSDT,LONG,209.11,206.4943,214.3414,775.5378,1141.3013,1160.2381,19.4021,0.4653,18.9368,2.0,win,207.05,209.11,0.016342,ob_prox
2026-05-13,14:15,COINUSDT,LONG,201.41,199.8211,204.5878,1250.1322,1160.2381,1163.0259,3.5379,0.7501,2.7878,0.3587,session_close,200.41,201.41,0.008223,ob_prox
2026-05-15,15:00,COINUSDT,SHORT,196.82,199.8146,190.8309,649.749,1163.0259,1166.8947,4.2586,0.3898,3.8688,0.4308,session_close,196.82,199.14,0.013867,ob_prox
2026-05-21,11:30,COINUSDT,LONG,189.65,187.4581,194.0339,858.1699,1166.8947,1186.217,19.8372,0.5149,19.3223,2.0,win,188.03,189.65,0.009268,ob_prox
2026-05-28,13:30,COINUSDT,LONG,180.56,178.7768,184.1263,1020.9704,1186.217,1195.217,9.6126,0.6126,9.0,0.9534,session_close,179.3,180.56,0.008631,ob_prox
2026-05-29,11:30,COINUSDT,LONG,188.71,186.1686,193.7929,754.364,1195.217,1196.2435,1.4791,0.4526,1.0265,0.1456,session_close,186.7,188.71,0.053253,ob_prox
2026-06-02,09:45,COINUSDT,SHORT,175.71,178.6954,169.7392,598.4591,1196.2435,1201.5042,5.6198,0.3591,5.2607,0.5527,session_close,175.71,178.19,0.010445,ob_prox
2026-06-03,10:30,COINUSDT,SHORT,167.62,169.7601,163.3398,799.8974,1201.5042,1221.4499,20.4256,0.4799,19.9457,2.0,win,167.62,169.24,0.023409,ob_prox
2026-06-04,14:15,COINUSDT,LONG,164.58,163.4,166.9401,1448.0343,1221.4499,1218.5575,-2.0236,0.8688,-2.8924,-0.1949,session_close,163.92,164.58,0.011131,ob_prox
2026-06-08,15:00,COINUSDT,SHORT,162.51,164.1419,159.2462,1031.4729,1218.5575,1220.0332,2.0946,0.6189,1.4757,0.2022,session_close,162.51,163.62,0.011861,ob_prox
2026-06-09,11:45,COINUSDT,SHORT,154.17,156.3481,149.8138,734.0282,1220.0332,1212.9272,-6.6656,0.4404,-7.106,-0.6428,session_close,154.17,155.81,0.032858,ob_prox
2026-06-11,11:00,COINUSDT,SHORT,155.27,157.3105,151.1891,784.5333,1212.9272,1202.1466,-10.3099,0.4707,-10.7806,-1.0,loss,155.27,156.78,0.015152,ob_prox
2026-06-12,10:15,COINUSDT,LONG,160.56,154.2992,173.0815,262.0517,1202.1466,1200.749,-1.2404,0.1572,-1.3976,-0.1214,session_close,154.83,160.56,0.015538,ob_prox
2026-06-16,12:00,COINUSDT,LONG,170.11,168.4907,173.3487,1072.1755,1200.749,1196.261,-3.8447,0.6433,-4.488,-0.3767,session_close,168.97,170.11,0.013136,ob_prox
2026-06-18,12:15,COINUSDT,SHORT,163.98,165.4266,161.0868,1152.6413,1196.261,1215.9058,20.3364,0.6916,19.6448,2.0,win,163.98,164.95,0.018401,ob_prox
2026-06-22,14:45,COINUSDT,SHORT,165.12,166.2078,162.9443,1568.7627,1215.9058,1215.5345,0.57,0.9413,-0.3713,0.0552,session_close,165.12,165.77,0.00934,ob_prox
2026-06-23,13:00,COINUSDT,SHORT,160.01,161.8777,156.2747,885.186,1215.5345,1224.5186,9.5152,0.5311,8.9841,0.9209,session_close,160.01,161.44,0.010123,ob_prox
2026-06-24,12:30,COINUSDT,SHORT,152.08,153.3398,149.5604,1256.4825,1224.5186,1238.8015,15.0368,0.7539,14.2829,1.4447,session_close,152.08,152.89,0.021432,ob_prox
2026-06-25,15:00,COINUSDT,SHORT,142.73,144.3461,139.4977,929.9493,1238.8015,1238.048,-0.1955,0.558,-0.7535,-0.0186,session_close,142.73,143.88,0.021941,ob_prox
2026-06-29,11:15,COINUSDT,LONG,148.01,146.3329,151.3642,928.7263,1238.048,1258.5376,21.0468,0.5572,20.4896,2.0,win,146.76,148.01,0.014476,ob_prox
